BSGatlas-gene-4272 5-ureB-sRNA
BSGatlas-gene-1001 bifL
BSGatlas-gene-1002 bifM
BSGatlas-gene-1003 bifN
BSGatlas-gene-3530 bioB
BSGatlas-gene-3531 bioD
BSGatlas-gene-3532 bioFC
BSGatlas-gene-3529 bioI
BSGatlas-gene-3533 bioK
BSGatlas-gene-3534 bioW
BSGatlas-gene-1245 bioY
BSGatlas-gene-3759 bioYB
BSGatlas-gene-1751 bipA
BSGatlas-gene-2642 birA
BSGatlas-gene-2825 bkdAA
BSGatlas-gene-2824 bkdAB
BSGatlas-gene-2823 bkdB
BSGatlas-gene-2830 bkdR
BSGatlas-gene-3546 blrA
BSGatlas-gene-3114 blt
BSGatlas-gene-3115 bltD
BSGatlas-gene-3113 bltR
BSGatlas-gene-2516 blyA
BSGatlas-gene-2821 bmr
BSGatlas-gene-4069 bmrA
BSGatlas-gene-1173 bmrB
BSGatlas-gene-1174 bmrC
BSGatlas-gene-1172 "BmrCD leader"
BSGatlas-gene-1175 bmrD
BSGatlas-gene-2822 bmrR
BSGatlas-gene-2820 bmrU
BSGatlas-gene-37 bofA
BSGatlas-gene-3257 bofC
BSGatlas-gene-1809 bpr
BSGatlas-gene-2597 bpsA
BSGatlas-gene-2596 bpsB
BSGatlas-gene-3466 braB
BSGatlas-gene-3125 brnQ
BSGatlas-gene-2572 brxA
BSGatlas-gene-2819 brxB
BSGatlas-gene-3487 brxJ
BSGatlas-gene-2576 bsaA
BSGatlas-gene-3186 bscR
BSGatlas-gene-447 bsdA
BSGatlas-gene-449 bsdC
BSGatlas-gene-450 bsdD
BSGatlas-gene-2644 bshA
BSGatlas-gene-2645 bshBA
BSGatlas-gene-2296 bshBB
BSGatlas-gene-1789 bshC
BSGatlas-gene-3650 bslA
BSGatlas-gene-4402 bslB
BSGatlas-gene-3818 bsnA
BSGatlas-gene-3234 bsrA_6S_ssrSB
BSGatlas-gene-2270 bsrB_6S_ssrSA
BSGatlas-gene-631 BsrC
BSGatlas-gene-514 BsrC_bsrC
BSGatlas-gene-2239 bsrE
BSGatlas-gene-2531 bsrG
BSGatlas-gene-3046 BsrG
BSGatlas-gene-2530 bsrG_S809_BsrG
BSGatlas-gene-3050 bsrH
BSGatlas-gene-3049 bsrH_S978_BsrG
BSGatlas-gene-3837 bsrI
BSGatlas-gene-1010 bstA
BSGatlas-gene-750 bsuMA
BSGatlas-gene-751 bsuMB
BSGatlas-gene-761 bsuRA
BSGatlas-gene-762 bsuRB
BSGatlas-gene-763 bsuRC
BSGatlas-gene-227 btr
BSGatlas-gene-2827 buk
BSGatlas-gene-3738 bznD
BSGatlas-gene-3926 cadA
BSGatlas-gene-398 cah
BSGatlas-gene-885 calJ
BSGatlas-gene-4190 capA
BSGatlas-gene-4192 capB
BSGatlas-gene-4191 capC
BSGatlas-gene-1336 carA
BSGatlas-gene-1337 carB
BSGatlas-gene-993 catD
BSGatlas-gene-994 catE
BSGatlas-gene-3946 catR
BSGatlas-gene-2643 cca
BSGatlas-gene-2946 cccA
BSGatlas-gene-4117 cccB
BSGatlas-gene-2109 ccdA
BSGatlas-gene-3485 ccpA
BSGatlas-gene-4750 ccpB
BSGatlas-gene-1683 ccpC
BSGatlas-gene-2953 ccpN
BSGatlas-gene-243 cdaA
BSGatlas-gene-244 cdaR
BSGatlas-gene-2293 cdaS
BSGatlas-gene-2961 cdd
BSGatlas-gene-632 cdnL
BSGatlas-gene-3658 cdoA
BSGatlas-gene-1944 cdsA
BSGatlas-gene-669 cesA
BSGatlas-gene-298 cesB
BSGatlas-gene-2335 cgeA
BSGatlas-gene-2336 cgeB
BSGatlas-gene-2334 cgeC
BSGatlas-gene-2333 cgeD
BSGatlas-gene-2332 cgeE
BSGatlas-gene-3975 cggR
BSGatlas-gene-961 chaA
BSGatlas-gene-1932 cheA
BSGatlas-gene-1931 cheB
BSGatlas-gene-1934 cheC
BSGatlas-gene-1935 cheD
BSGatlas-gene-2671 cheR
BSGatlas-gene-1668 cheV
BSGatlas-gene-1933 cheW
BSGatlas-gene-1922 cheY
BSGatlas-gene-4216 chrA
BSGatlas-gene-4215 chrB
BSGatlas-gene-4214 chrS
BSGatlas-gene-4455 cidA
BSGatlas-gene-4456 cidB
BSGatlas-gene-4454 cidR
BSGatlas-gene-4505 cimH
BSGatlas-gene-1986 cinA
BSGatlas-gene-1146 citA
BSGatlas-gene-2117 citB
BSGatlas-gene-4543 citH
BSGatlas-gene-929 citM
BSGatlas-gene-1145 citR
BSGatlas-gene-926 citS
BSGatlas-gene-927 citT
BSGatlas-gene-3414 citZ
BSGatlas-gene-128 clpC
BSGatlas-gene-1626 clpE
BSGatlas-gene-4038 clpP
BSGatlas-gene-1903 clpQ
BSGatlas-gene-3311 clpX
BSGatlas-gene-1904 clpY
BSGatlas-gene-4266 clsA
BSGatlas-gene-4334 clsB
BSGatlas-gene-4340 clsC
BSGatlas-gene-2691 cmk
BSGatlas-gene-3436 cmoI
BSGatlas-gene-3435 cmoJ
BSGatlas-gene-3437 cmoO
BSGatlas-gene-581 cmpA
BSGatlas-gene-2791 coaA
BSGatlas-gene-1856 coaBC
BSGatlas-gene-1778 coaD
BSGatlas-gene-3406 coaE
BSGatlas-gene-96 coaX
BSGatlas-gene-3891 Cobalamin_srbL
BSGatlas-gene-1902 codV
BSGatlas-gene-1905 codY
BSGatlas-gene-1372 coiA
BSGatlas-gene-3720 comA
BSGatlas-gene-3294 comC
BSGatlas-gene-2994 comEA
BSGatlas-gene-2993 comEB
BSGatlas-gene-2992 comEC
BSGatlas-gene-2995 comER
BSGatlas-gene-4139 comFA
BSGatlas-gene-4138 comFB
BSGatlas-gene-4137 comFC
BSGatlas-gene-2898 comGA
BSGatlas-gene-2897 comGB
BSGatlas-gene-2896 comGC
BSGatlas-gene-2895 comGD
BSGatlas-gene-2894 comGE
BSGatlas-gene-2893 comGF
BSGatlas-gene-2892 comGG
BSGatlas-gene-1250 comK
BSGatlas-gene-3247 comN
BSGatlas-gene-3721 comP
BSGatlas-gene-3724 comQ
BSGatlas-gene-434 comS
BSGatlas-gene-3723 comX
BSGatlas-gene-1345 comZ
BSGatlas-gene-605 conB
BSGatlas-gene-606 conC
BSGatlas-gene-607 conD
BSGatlas-gene-608 conE
BSGatlas-gene-610 conG
BSGatlas-gene-599 conQ
BSGatlas-gene-3927 copA
BSGatlas-gene-907 copO
BSGatlas-gene-906 copP
BSGatlas-gene-3928 copZ
BSGatlas-gene-785 cotA
BSGatlas-gene-4207 cotB
BSGatlas-gene-2080 cotC
BSGatlas-gene-2615 cotD
BSGatlas-gene-1996 cotE
BSGatlas-gene-4710 cotF
BSGatlas-gene-4208 cotH
BSGatlas-gene-3607 cotI
BSGatlas-gene-3727 cotIC
BSGatlas-gene-853 cotJA
BSGatlas-gene-854 cotJB
BSGatlas-gene-855 cotJC
BSGatlas-gene-849 cotK
BSGatlas-gene-2114 cotM
BSGatlas-gene-3299 cotN
BSGatlas-gene-4599 cotNE
BSGatlas-gene-3787 cotNH
BSGatlas-gene-4035 cotNP
BSGatlas-gene-3865 cotNW
BSGatlas-gene-1396 cotO
BSGatlas-gene-3604 cotOO
BSGatlas-gene-681 cotP
BSGatlas-gene-3323 cotQ
BSGatlas-gene-4036 cotR
BSGatlas-gene-3605 cotS
BSGatlas-gene-3606 cotSA
BSGatlas-gene-1443 cotT
BSGatlas-gene-1444 cotT
BSGatlas-gene-2071 cotU
BSGatlas-gene-1401 cotV
BSGatlas-gene-1400 cotW
BSGatlas-gene-1399 cotX
BSGatlas-gene-1398 cotY
BSGatlas-gene-1397 cotZ
BSGatlas-gene-1162 crcBA
BSGatlas-gene-1163 crcBB
BSGatlas-gene-4059 crh
BSGatlas-gene-2248 csaA
BSGatlas-gene-4106 csbA
BSGatlas-gene-1031 csbB
BSGatlas-gene-4622 csbC
BSGatlas-gene-4277 csbD
BSGatlas-gene-3258 csbX
BSGatlas-gene-44 csfB
BSGatlas-gene-276 csgA
BSGatlas-gene-556 cshA
BSGatlas-gene-2941 cshB
BSGatlas-gene-3152 csn
BSGatlas-gene-3929 csoR
BSGatlas-gene-628 cspA
BSGatlas-gene-1107 cspA
BSGatlas-gene-2581 cspA
BSGatlas-gene-1108 cspB
BSGatlas-gene-629 cspC
BSGatlas-gene-2582 cspD
BSGatlas-gene-4129 csrA
BSGatlas-gene-3871 cssR
BSGatlas-gene-3872 cssS
BSGatlas-gene-3370 cstA
BSGatlas-gene-1761 ctaA
BSGatlas-gene-1762 ctaB
BSGatlas-gene-1763 ctaC
BSGatlas-gene-1764 ctaD
BSGatlas-gene-1765 ctaE
BSGatlas-gene-1766 ctaF
BSGatlas-gene-1767 ctaG
BSGatlas-gene-1442 ctaO
BSGatlas-gene-75 ctc
BSGatlas-gene-2310 ctpA
BSGatlas-gene-4113 ctpB
BSGatlas-gene-125 ctsR
BSGatlas-gene-1158 cueR
BSGatlas-gene-482 cutI
BSGatlas-gene-483 cutJ
BSGatlas-gene-484 cutR
BSGatlas-gene-3029 cwlA
BSGatlas-gene-2041 cwlC
BSGatlas-gene-201 cwlD
BSGatlas-gene-3009 cwlH
BSGatlas-gene-335 cwlJ
BSGatlas-gene-359 cwlK
BSGatlas-gene-4067 cwlO
BSGatlas-gene-2509 cwlP
BSGatlas-gene-1379 cwlQ
BSGatlas-gene-2291 cwlS
BSGatlas-gene-611 cwlT
BSGatlas-gene-4504 cydA
BSGatlas-gene-4503 cydB
BSGatlas-gene-4502 cydC
BSGatlas-gene-4501 cydD
BSGatlas-gene-3980 cyeB
BSGatlas-gene-3231 cymR
BSGatlas-gene-3130 cypA
BSGatlas-gene-3185 cypB
BSGatlas-gene-279 cypC
BSGatlas-gene-890 cypD
BSGatlas-gene-1456 cypE
BSGatlas-gene-4093 cypX
BSGatlas-gene-1846 cysC
BSGatlas-gene-136 cysE
BSGatlas-gene-1843 cysH
BSGatlas-gene-3920 cysI
BSGatlas-gene-3921 cysJ
BSGatlas-gene-99 cysK
BSGatlas-gene-4386 cysL
BSGatlas-gene-1844 cysP
BSGatlas-gene-137 cysS
BSGatlas-gene-1064 cysTA
BSGatlas-gene-3121 czcD
BSGatlas-gene-3119 czcR
BSGatlas-gene-2256 czrA
BSGatlas-gene-20 dacA
BSGatlas-gene-2725 dacB
BSGatlas-gene-2158 dacC
BSGatlas-gene-2760 dacF
BSGatlas-gene-3827 dadA
BSGatlas-gene-834 dagK
BSGatlas-gene-1970 dapA
BSGatlas-gene-2647 dapB
BSGatlas-gene-3776 dapF
BSGatlas-gene-1969 dapG
BSGatlas-gene-1687 dapH
BSGatlas-gene-1688 dapI
BSGatlas-gene-1666 dapX
BSGatlas-gene-49 darA
BSGatlas-gene-1169 dat
BSGatlas-gene-61 dayD
BSGatlas-gene-27 dck
BSGatlas-gene-540 dctB
BSGatlas-gene-543 dctP
BSGatlas-gene-542 dctR
BSGatlas-gene-541 dctS
BSGatlas-gene-1547 ddaH
BSGatlas-gene-554 ddlA
BSGatlas-gene-4548 deaD
BSGatlas-gene-1859 defA
BSGatlas-gene-1726 defB
BSGatlas-gene-3725 degQ
BSGatlas-gene-2583 degR
BSGatlas-gene-4143 degS
BSGatlas-gene-4142 degU
BSGatlas-gene-2762 deoB
BSGatlas-gene-4582 deoC
BSGatlas-gene-2314 deoD
BSGatlas-gene-4583 deoR
BSGatlas-gene-2684 der
BSGatlas-gene-2262 desE
BSGatlas-gene-2263 desK
BSGatlas-gene-2264 desR
BSGatlas-gene-2566 dfrA
BSGatlas-gene-1110 dgcK
BSGatlas-gene-3471 dgcP
BSGatlas-gene-1593 dgcW
BSGatlas-gene-28 dgk
BSGatlas-gene-2693 dgrA
BSGatlas-gene-2281 dhaS
BSGatlas-gene-3756 dhbA
BSGatlas-gene-3753 dhbB
BSGatlas-gene-3755 dhbC
BSGatlas-gene-3754 dhbE
BSGatlas-gene-3752 dhbF
BSGatlas-gene-2850 DicF
BSGatlas-gene-690 dinB
BSGatlas-gene-2556 dinF
BSGatlas-gene-2637 dinG
BSGatlas-gene-2101 dinK
BSGatlas-gene-2102 dinL
BSGatlas-gene-130 disA
BSGatlas-gene-1802 divIB
BSGatlas-gene-85 divIC
BSGatlas-gene-1823 divIVA
BSGatlas-gene-4477 dltA
BSGatlas-gene-4478 dltB
BSGatlas-gene-4479 dltC
BSGatlas-gene-4480 dltD
BSGatlas-gene-4481 dltE
BSGatlas-gene-4 dnaA
BSGatlas-gene-3399 dnaB
BSGatlas-gene-4698 dnaC
BSGatlas-gene-2631 dnaD
BSGatlas-gene-3425 dnaEC
BSGatlas-gene-2949 dnaG
BSGatlas-gene-53 dnaH
BSGatlas-gene-3398 dnaI
BSGatlas-gene-2977 dnaJ
BSGatlas-gene-2979 dnaK
BSGatlas-gene-5 dnaN
BSGatlas-gene-33 dnaX
BSGatlas-gene-2396 dpoL
BSGatlas-gene-1537 dppA
BSGatlas-gene-1538 dppB
BSGatlas-gene-1539 dppC
BSGatlas-gene-1540 dppD
BSGatlas-gene-1541 dppE
BSGatlas-gene-1899 dprA
BSGatlas-gene-3578 dps
BSGatlas-gene-2792 dsdA
BSGatlas-gene-3240 dtd
BSGatlas-gene-453 dtpT
BSGatlas-gene-107 dusB
BSGatlas-gene-972 dusC
BSGatlas-gene-2068 dutA
BSGatlas-gene-2360 dutB
BSGatlas-gene-1945 dxr
BSGatlas-gene-2849 dxs
BSGatlas-gene-2593 dynA
BSGatlas-gene-1621 eag
BSGatlas-gene-4472 eapD
BSGatlas-gene-34 ebfC
BSGatlas-gene-2028 ebrA
BSGatlas-gene-2027 ebrB
BSGatlas-gene-191 ecfA
BSGatlas-gene-192 ecfAB
BSGatlas-gene-193 ecfT
BSGatlas-gene-1212 ecsA
BSGatlas-gene-1213 ecsB
BSGatlas-gene-1214 ecsC
BSGatlas-gene-4189 edmS
BSGatlas-gene-1544 eepC
BSGatlas-gene-223 eesA
BSGatlas-gene-4449 efeB
BSGatlas-gene-4450 efeM
BSGatlas-gene-4451 efeU
BSGatlas-gene-2869 efp
BSGatlas-gene-1980 efpI
BSGatlas-gene-2134 eglS
BSGatlas-gene-3375 egsA
BSGatlas-gene-3308 engB
BSGatlas-gene-4756 engD
BSGatlas-gene-3970 eno
BSGatlas-gene-1030 ephM
BSGatlas-gene-4463 epr
BSGatlas-gene-4018 epsA
BSGatlas-gene-4017 epsB
BSGatlas-gene-4015 epsC
BSGatlas-gene-4016 epsC
BSGatlas-gene-4014 epsD
BSGatlas-gene-4013 epsE
BSGatlas-gene-4012 epsF
BSGatlas-gene-4011 epsG
BSGatlas-gene-4010 epsH
BSGatlas-gene-4009 epsI
BSGatlas-gene-519 epsJ
BSGatlas-gene-4008 epsJ
BSGatlas-gene-520 epsK
BSGatlas-gene-4007 epsK
BSGatlas-gene-4006 epsL
BSGatlas-gene-4005 epsM
BSGatlas-gene-4004 epsN
BSGatlas-gene-4003 epsO
BSGatlas-gene-2960 era
BSGatlas-gene-346 estA
BSGatlas-gene-3940 estA
BSGatlas-gene-1005 estB
BSGatlas-gene-3346 etfA
BSGatlas-gene-3347 etfB
BSGatlas-gene-904 ettA
BSGatlas-gene-909 ettM
BSGatlas-gene-2190 exlX
BSGatlas-gene-2590 exnP
BSGatlas-gene-4751 exoA
BSGatlas-gene-1467 exuM
BSGatlas-gene-1473 exuR
BSGatlas-gene-1472 exuT
BSGatlas-gene-3467 ezrA
BSGatlas-gene-1877 fabD
BSGatlas-gene-1348 fabF
BSGatlas-gene-1878 fabG
BSGatlas-gene-1347 fabHA
BSGatlas-gene-1225 fabHB
BSGatlas-gene-1395 fabI
BSGatlas-gene-1036 fabL
BSGatlas-gene-4242 fabZ
BSGatlas-gene-3851 fadA
BSGatlas-gene-3348 fadB
BSGatlas-gene-3850 fadE
BSGatlas-gene-4333 fadF
BSGatlas-gene-1673 fadH
BSGatlas-gene-3852 fadN
BSGatlas-gene-3349 fadR
BSGatlas-gene-4140 fakBA
BSGatlas-gene-1323 fakBB
BSGatlas-gene-1875 fapR
BSGatlas-gene-1292 farP
BSGatlas-gene-4326 fbaA
BSGatlas-gene-1850 fbnA
BSGatlas-gene-4664 fbp
BSGatlas-gene-551 fbpA
BSGatlas-gene-550 fbpB
BSGatlas-gene-2594 fbpC
BSGatlas-gene-4281 fdhD
BSGatlas-gene-920 fecC
BSGatlas-gene-919 fecD
BSGatlas-gene-918 fecE
BSGatlas-gene-917 fecF
BSGatlas-gene-2708 fer
BSGatlas-gene-226 feuA
BSGatlas-gene-225 feuB
BSGatlas-gene-224 feuC
BSGatlas-gene-3864 feuV
BSGatlas-gene-1885 ffh
BSGatlas-gene-408 ffoR
BSGatlas-gene-3906 fhuB
BSGatlas-gene-3904 fhuC
BSGatlas-gene-3907 fhuD
BSGatlas-gene-3905 fhuG
BSGatlas-gene-77 fin
BSGatlas-gene-3795 fisB
BSGatlas-gene-1684 fldN
BSGatlas-gene-1686 fldP
BSGatlas-gene-1906 flgB
BSGatlas-gene-1907 flgC
BSGatlas-gene-1916 flgD
BSGatlas-gene-1917 flgE
BSGatlas-gene-4133 flgK
BSGatlas-gene-4132 flgL
BSGatlas-gene-4135 flgM
BSGatlas-gene-4134 flgN
BSGatlas-gene-1928 flhA
BSGatlas-gene-1927 flhB
BSGatlas-gene-1929 flhF
BSGatlas-gene-1930 flhG
BSGatlas-gene-4245 flhO
BSGatlas-gene-4244 flhP
BSGatlas-gene-4126 fliD
BSGatlas-gene-1908 fliE
BSGatlas-gene-1909 fliF
BSGatlas-gene-1910 fliG
BSGatlas-gene-1911 fliH
BSGatlas-gene-1912 fliI
BSGatlas-gene-1913 fliJ
BSGatlas-gene-1915 fliK
BSGatlas-gene-1919 fliL
BSGatlas-gene-1920 fliM
BSGatlas-gene-1924 fliP
BSGatlas-gene-1925 fliQ
BSGatlas-gene-1926 fliR
BSGatlas-gene-4125 fliS
BSGatlas-gene-4124 fliT
BSGatlas-gene-4130 fliW
BSGatlas-gene-1921 fliY
BSGatlas-gene-1923 fliZ
BSGatlas-gene-2969 floA
BSGatlas-gene-3643 floT
BSGatlas-gene-887 flvL
BSGatlas-gene-888 flvM
BSGatlas-gene-2084 flvS
BSGatlas-gene-2735 FMN_fswA
BSGatlas-gene-2710 FMN_fswB
BSGatlas-gene-2709 fmnP
BSGatlas-gene-1860 fmt
BSGatlas-gene-2689 fni
BSGatlas-gene-4347 fnr
BSGatlas-gene-104 folB
BSGatlas-gene-3295 folC
BSGatlas-gene-2855 folD
BSGatlas-gene-2677 folEA
BSGatlas-gene-415 folEB
BSGatlas-gene-105 folK
BSGatlas-gene-2916 folN
BSGatlas-gene-103 folP
BSGatlas-gene-2097 fosB
BSGatlas-gene-702 fra
BSGatlas-gene-3825 frlB
BSGatlas-gene-3821 frlD
BSGatlas-gene-3822 frlM
BSGatlas-gene-3823 frlN
BSGatlas-gene-3824 frlO
BSGatlas-gene-3819 frlP
BSGatlas-gene-3820 frlR
BSGatlas-gene-1942 frr
BSGatlas-gene-1709 fruA
BSGatlas-gene-1708 fruK
BSGatlas-gene-1707 fruR
BSGatlas-gene-3381 frvX
BSGatlas-gene-4602 frxB
BSGatlas-gene-1807 ftsA
BSGatlas-gene-4115 ftsE
BSGatlas-gene-95 ftsH
BSGatlas-gene-1793 ftsL
BSGatlas-gene-2166 ftsR
BSGatlas-gene-1759 ftsW
BSGatlas-gene-4114 ftsX
BSGatlas-gene-1882 ftsY
BSGatlas-gene-1808 ftsZ
BSGatlas-gene-3875 fumC
BSGatlas-gene-2765 fur
BSGatlas-gene-156 fusA
BSGatlas-gene-479 gabD
BSGatlas-gene-786 gabP
BSGatlas-gene-477 gabR
BSGatlas-gene-478 gabT
BSGatlas-gene-4515 galE
BSGatlas-gene-4442 galK
BSGatlas-gene-2159 galM
BSGatlas-gene-4441 galT
BSGatlas-gene-308 gamA
BSGatlas-gene-307 gamP
BSGatlas-gene-309 gamR
BSGatlas-gene-3994 ganA
BSGatlas-gene-3993 ganB
BSGatlas-gene-3996 ganP
BSGatlas-gene-3995 ganQ
BSGatlas-gene-3998 ganR
BSGatlas-gene-3997 ganS
BSGatlas-gene-3974 gapA
BSGatlas-gene-3402 gapB
BSGatlas-gene-323 garD
BSGatlas-gene-322 garR
BSGatlas-gene-830 gatA
BSGatlas-gene-831 gatB
BSGatlas-gene-829 gatC
BSGatlas-gene-3648 gbsA
BSGatlas-gene-3647 gbsB
BSGatlas-gene-3649 gbsR
BSGatlas-gene-3848 gcvH
BSGatlas-gene-2880 gcvPA
BSGatlas-gene-2879 gcvPB
BSGatlas-gene-2881 gcvT
BSGatlas-gene-481 gdh
BSGatlas-gene-1555 gdnC
